ObjectID,KiloNBR,BlockAddress,CMID,CMAgency,Date,Type,Status,Score,Side
1515062,LHP200101000272,0 BLOCK H1W FWY,Honolulu_PD_HI_LHP200101000272_210,"Honolulu PD, HI",01/01/2020 11:22:00 AM +0000,DUI,U,0,0
1515077,LHP200101000591,0 BLOCK H1W FWY,Honolulu_PD_HI_LHP200101000591_210,"Honolulu PD, HI",01/01/2020 01:45:00 PM +0000,DUI,U,0,1
1515132,LHP200101001398,911400 BLOCK MIULA ST,Honolulu_PD_HI_LHP200101001398_064,"Honolulu PD, HI",01/02/2020 12:14:00 AM +0000,VEHICLE BREAK-IN/THEFT,U,0,2
1515844,LHP200102000446,1100 BLOCK TRIMBLE RD,Honolulu_PD_HI_LHP200102000446_077,"Honolulu PD, HI",01/02/2020 07:06:00 PM +0000,MOTOR VEHICLE THEFT,U,0,3
1515903,LHP200102000882,870300 BLOCK KOWEHE ST,Honolulu_PD_HI_LHP200102000882_100,"Honolulu PD, HI",01/02/2020 11:03:00 PM +0000,FRAUD,U,0,4
1515906,LHP200102000922,871900 BLOCK PAKEKE ST,Honolulu_PD_HI_LHP200102000922_060,"Honolulu PD, HI",01/02/2020 11:29:00 PM +0000,THEFT/LARCENY,U,0,5
1515929,LHP200102001240,911600 BLOCK PAHIKA ST,Honolulu_PD_HI_LHP200102001240_080,"Honolulu PD, HI",01/03/2020 02:45:00 AM +0000,ASSAULT,U,0,6
1516573,LHP200103000017,HOUGHTAILING/N SCHOOL,Honolulu_PD_HI_LHP200103000017_220,"Honolulu PD, HI",01/03/2020 10:14:00 AM +0000,DRUGS/ALCOHOL VIOLATIONS,U,0,7
1516579,LHP200103000066,H3E HALAWA VLY UP,Honolulu_PD_HI_LHP200103000066_210,"Honolulu PD, HI",01/03/2020 11:27:00 AM +0000,DUI,U,0,8
1516703,LHP200103001835,0 BLOCK H2S FWY,Honolulu_PD_HI_LHP200103001835_210,"Honolulu PD, HI",01/04/2020 09:28:00 AM +0000,DUI,U,0,9
1517327,LHP200104000055,0 BLOCK H1E FWY,Honolulu_PD_HI_LHP200104000055_210,"Honolulu PD, HI",01/04/2020 11:01:00 AM +0000,DUI,U,0,10
1517328,LHP200104000064,0 BLOCK H1W FWY,Honolulu_PD_HI_LHP200104000064_210,"Honolulu PD, HI",01/04/2020 11:14:00 AM +0000,DUI,U,0,11
1517373,LHP200104000639,940500 BLOCK KUNIA RD,Honolulu_PD_HI_LHP200104000639_060,"Honolulu PD, HI",01/04/2020 09:22:00 PM +0000,THEFT/LARCENY,U,0,12
1517400,LHP200104000895,0 BLOCK ARIZONA MEMORIAL DR,Honolulu_PD_HI_LHP200104000895_064,"Honolulu PD, HI",01/05/2020 12:14:00 AM +0000,VEHICLE BREAK-IN/THEFT,U,0,13
1517449,LHP200104001508,4400 BLOCK KAPOLEI PKWY,Honolulu_PD_HI_LHP200104001508_060,"Honolulu PD, HI",01/05/2020 07:31:00 AM +0000,THEFT/LARCENY,U,0,14
1518078,LHP200105000156,MEHEULA ONTO H2S,Honolulu_PD_HI_LHP200105000156_220,"Honolulu PD, HI",01/05/2020 12:17:00 PM +0000,DRUGS/ALCOHOL VIOLATIONS,U,0,15
1518085,LHP200105000221,200 BLOCK H1E FWY,Honolulu_PD_HI_LHP200105000221_220,"Honolulu PD, HI",01/05/2020 01:33:00 PM +0000,DRUGS/ALCOHOL VIOLATIONS,U,0,16
1518112,LHP200105001282,4400 BLOCK KAPOLEI PKWY,Honolulu_PD_HI_LHP200105001282_210,"Honolulu PD, HI",01/06/2020 04:44:00 AM +0000,DUI,U,0,17
1518158,LHP200105001363,0 BLOCK VINSON RD,Honolulu_PD_HI_LHP200105001363_077,"Honolulu PD, HI",01/06/2020 05:55:00 AM +0000,MOTOR VEHICLE THEFT,U,0,18
1518170,LHP200105001633,200 BLOCK H1W FWY,Honolulu_PD_HI_LHP200105001633_210,"Honolulu PD, HI",01/06/2020 09:23:00 AM +0000,DUI,U,0,19
1519664,LHP200107001116,CLUB SUMI/MOKUKAWA,Honolulu_PD_HI_LHP200107001116_060,"Honolulu PD, HI",01/08/2020 01:19:00 AM +0000,THEFT/LARCENY,U,0,20
1519680,LHP200107001424,400 BLOCK HOBRON,Honolulu_PD_HI_LHP200107001424_064,"Honolulu PD, HI",01/08/2020 03:59:00 AM +0000,VEHICLE BREAK-IN/THEFT,U,0,21
1519682,LHP200107001460,ASTON WKK,Honolulu_PD_HI_LHP200107001460_220,"Honolulu PD, HI",01/08/2020 04:15:00 AM +0000,DRUGS/ALCOHOL VIOLATIONS,U,0,22
1519704,LHP200107001862,H2S EXIT1A H1W HONO,Honolulu_PD_HI_LHP200107001862_210,"Honolulu PD, HI",01/08/2020 08:46:00 AM +0000,DUI,U,0,23
1520335,LHP200108000061,911000 BLOCK HOAKALEI ST,Honolulu_PD_HI_LHP200108000061_080,"Honolulu PD, HI",01/08/2020 11:03:00 AM +0000,ASSAULT,U,0,24
1520340,LHP200108000129,200 BLOCK H1W FWY,Honolulu_PD_HI_LHP200108000129_220,"Honolulu PD, HI",01/08/2020 12:22:00 PM +0000,DRUGS/ALCOHOL VIOLATIONS,U,0,25
1520397,LHP200108000700,911000 BLOCK HOOMALIE ST,Honolulu_PD_HI_LHP200108000700_060,"Honolulu PD, HI",01/08/2020 09:16:00 PM +0000,THEFT/LARCENY,U,0,26
1520405,LHP200108000764,4400 BLOCK KAPOLEI PKWY,Honolulu_PD_HI_LHP200108000764_060,"Honolulu PD, HI",01/08/2020 10:00:00 PM +0000,THEFT/LARCENY,U,0,27
1520417,LHP200108000971,1100 BLOCK KAKALA ST,Honolulu_PD_HI_LHP200108000971_060,"Honolulu PD, HI",01/09/2020 12:07:00 AM +0000,THEFT/LARCENY,U,0,28
1520433,LHP200108001161,H1W H2N OFF,Honolulu_PD_HI_LHP200108001161_140,"Honolulu PD, HI",01/09/2020 02:06:00 AM +0000,VANDALISM,U,0,29
1520447,LHP200108001255,AIEA HTS DR&TRAIL AIEA LOOP,Honolulu_PD_HI_LHP200108001255_064,"Honolulu PD, HI",01/09/2020 03:07:00 AM +0000,VEHICLE BREAK-IN/THEFT,U,0,30
1520471,LHP200108001681,3000 BLOCK LYMAN RD,Honolulu_PD_HI_LHP200108001681_180,"Honolulu PD, HI",01/09/2020 08:15:00 AM +0000,DRUGS/ALCOHOL VIOLATIONS,U,0,31
